Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2023-01-01T06:30:00+01:00;PT15M;Onshore;Flanders;Dso;921.4;789.9;674.7;822.3;805.8;677.0;864.4;788.7;659.4;828.1;847.6;800.7;889.2;1353.86;0.68;''
2023-01-01T06:45:00+01:00;PT15M;Onshore;Flanders;Dso;921.03;778.0;651.4;812.8;810.1;676.4;870.8;789.8;664.0;825.4;841.5;791.0;881.5;1353.86;0.68;''
2023-01-01T07:00:00+01:00;PT15M;Onshore;Flanders;Dso;902.71;769.7;695.7;796.7;817.8;680.1;879.0;799.0;674.0;830.5;834.7;783.5;875.3;1353.86;0.67;''
2023-01-01T07:15:00+01:00;PT15M;Onshore;Flanders;Dso;890.57;761.0;662.4;790.3;820.8;679.1;883.9;802.1;676.3;832.5;829.2;779.1;871.2;1353.86;0.66;''
2023-01-01T07:30:00+01:00;PT15M;Onshore;Flanders;Dso;883.18;751.8;645.0;784.2;821.0;675.5;885.6;806.2;678.6;835.6;823.2;774.0;868.3;1353.86;0.65;''
2023-01-01T07:45:00+01:00;PT15M;Onshore;Flanders;Dso;879.24;743.6;625.1;778.1;825.6;672.7;889.5;809.8;682.6;837.7;816.5;768.9;865.7;1353.86;0.65;''
2023-01-01T08:00:00+01:00;PT15M;Onshore;Flanders;Dso;878.13;758.0;699.1;795.3;830.5;672.1;896.4;817.7;692.0;846.9;817.2;770.5;865.6;1353.86;0.65;''
2023-01-01T08:15:00+01:00;PT15M;Onshore;Flanders;Dso;861.88;751.3;675.7;796.1;830.9;668.4;900.6;824.3;697.1;851.9;814.4;766.4;862.0;1353.86;0.64;''
2023-01-01T08:30:00+01:00;PT15M;Onshore;Flanders;Dso;816.26;744.8;659.4;793.4;830.0;660.1;902.3;824.8;700.2;851.5;809.8;760.4;857.0;1353.86;0.6;''
2023-01-01T08:45:00+01:00;PT15M;Onshore;Flanders;Dso;789.86;741.6;650.1;795.5;829.0;653.8;904.3;825.6;706.2;853.3;806.6;756.4;854.1;1353.86;0.58;''
2023-01-01T09:00:00+01:00;PT15M;Onshore;Flanders;Dso;788.4;752.2;691.9;789.0;827.9;649.9;903.2;828.7;714.5;858.3;802.7;749.4;849.7;1353.86;0.58;''
2023-01-01T09:15:00+01:00;PT15M;Onshore;Flanders;Dso;777.67;744.1;665.9;787.9;826.1;650.4;897.1;830.1;723.9;862.3;800.9;744.7;847.0;1353.86;0.57;''
2023-01-01T09:30:00+01:00;PT15M;Onshore;Flanders;Dso;764.71;733.2;648.8;782.1;824.6;654.5;889.8;831.7;732.8;866.2;797.5;736.7;844.6;1353.86;0.56;''
2023-01-01T09:45:00+01:00;PT15M;Onshore;Flanders;Dso;752.47;724.0;632.5;777.0;825.5;662.2;884.3;834.2;741.3;873.1;794.0;729.3;840.2;1353.86;0.56;''
2023-01-01T10:00:00+01:00;PT15M;Onshore;Flanders;Dso;725.1;731.6;684.3;762.2;830.1;669.0;886.6;842.7;752.2;884.5;789.2;721.6;835.9;1353.86;0.54;''
2023-01-01T10:15:00+01:00;PT15M;Onshore;Flanders;Dso;712.73;724.7;656.0;766.5;829.7;669.0;885.6;842.5;754.6;894.0;786.5;716.9;833.0;1353.86;0.53;''
2023-01-01T10:30:00+01:00;PT15M;Onshore;Flanders;Dso;715.44;716.2;635.3;761.7;827.5;663.3;883.1;841.4;754.7;900.5;784.7;715.4;831.9;1353.86;0.53;''
2023-01-01T10:45:00+01:00;PT15M;Onshore;Flanders;Dso;730.75;709.0;618.9;757.9;823.4;658.1;879.2;836.4;751.4;905.1;780.2;711.6;827.4;1353.86;0.54;''
2023-01-01T11:00:00+01:00;PT15M;Onshore;Flanders;Dso;713.72;697.0;642.4;728.7;816.8;647.5;874.7;830.3;747.1;902.5;776.1;707.8;823.7;1353.86;0.53;''
2023-01-01T11:15:00+01:00;PT15M;Onshore;Flanders;Dso;700.66;691.6;614.0;736.4;811.6;638.1;872.6;824.7;745.4;896.9;773.1;703.6;820.7;1353.86;0.52;''
2023-01-01T11:30:00+01:00;PT15M;Onshore;Flanders;Dso;725.49;685.0;599.2;731.7;806.2;625.5;870.4;820.2;741.2;892.5;769.2;699.8;816.7;1353.86;0.54;''
2023-01-01T11:45:00+01:00;PT15M;Onshore;Flanders;Dso;732.02;678.4;585.8;728.7;800.1;612.3;866.6;816.5;734.1;888.5;767.0;698.3;813.8;1353.86;0.54;''
2023-01-01T12:00:00+01:00;PT15M;Onshore;Flanders;Dso;712.21;675.1;620.9;706.2;794.9;601.9;862.1;810.9;726.5;884.1;769.1;699.9;815.6;1353.86;0.53;''
2023-01-01T12:15:00+01:00;PT15M;Onshore;Flanders;Dso;695.09;668.1;597.3;707.7;787.8;588.9;853.7;806.2;717.1;876.1;764.0;693.9;809.7;1353.86;0.51;''
2023-01-01T12:30:00+01:00;PT15M;Onshore;Flanders;Dso;675.07;656.5;572.3;701.2;780.2;576.0;844.8;798.2;704.1;868.1;755.4;685.0;801.6;1353.86;0.5;''
2023-01-01T12:45:00+01:00;PT15M;Onshore;Flanders;Dso;688.76;646.8;547.0;695.1;769.5;560.5;833.4;790.4;689.1;858.2;742.1;672.5;787.4;1353.86;0.51;''
2023-01-01T13:00:00+01:00;PT15M;Onshore;Flanders;Dso;678.01;632.5;573.7;667.4;759.6;544.8;823.9;782.5;673.1;850.6;727.8;659.4;775.2;1353.86;0.5;''
2023-01-01T13:15:00+01:00;PT15M;Onshore;Flanders;Dso;659.82;622.2;544.7;664.1;749.2;527.7;811.1;769.6;652.5;841.8;711.7;643.1;758.6;1353.86;0.49;''
2023-01-01T13:30:00+01:00;PT15M;Onshore;Flanders;Dso;633.55;609.5;520.9;654.3;737.0;509.3;796.8;758.8;631.9;833.8;692.4;623.5;739.4;1353.86;0.47;''
2023-01-01T13:45:00+01:00;PT15M;Onshore;Flanders;Dso;629.78;604.0;506.8;651.7;723.6;490.4;783.4;745.2;610.7;822.4;668.2;598.8;715.4;1353.86;0.47;''
2023-01-01T14:00:00+01:00;PT15M;Onshore;Flanders;Dso;643.3;611.2;548.2;645.5;707.4;475.1;763.5;729.8;591.0;810.5;639.3;568.8;685.8;1353.86;0.48;''
2023-01-01T14:15:00+01:00;PT15M;Onshore;Flanders;Dso;624.47;603.1;515.0;645.5;690.1;465.5;742.8;713.4;571.3;800.7;614.4;543.8;659.5;1353.86;0.46;''
2023-01-01T14:30:00+01:00;PT15M;Onshore;Flanders;Dso;624.3;589.5;481.1;635.7;675.0;459.4;721.3;695.5;552.5;783.7;590.5;520.9;637.0;1353.86;0.46;''
2023-01-01T14:45:00+01:00;PT15M;Onshore;Flanders;Dso;609.48;572.7;445.0;622.8;657.4;453.2;699.3;678.5;532.6;770.7;567.3;497.6;613.7;1353.86;0.45;''
2023-01-01T15:00:00+01:00;PT15M;Onshore;Flanders;Dso;575.85;562.1;479.3;601.9;636.5;442.6;674.1;655.9;509.7;747.7;543.6;474.8;590.0;1353.86;0.43;''
2023-01-01T15:15:00+01:00;PT15M;Onshore;Flanders;Dso;549.33;541.3;438.7;586.4;618.8;428.7;653.4;636.2;489.2;725.8;520.2;451.5;567.1;1353.86;0.41;''
2023-01-01T15:30:00+01:00;PT15M;Onshore;Flanders;Dso;518.5;522.0;419.8;568.3;601.2;416.0;633.0;618.1;469.2;704.6;496.2;427.2;542.7;1353.86;0.38;''
2023-01-01T15:45:00+01:00;PT15M;Onshore;Flanders;Dso;495.73;500.0;398.3;547.0;575.2;395.2;603.6;587.8;438.0;670.4;473.5;405.1;519.0;1353.86;0.37;''
2023-01-01T16:00:00+01:00;PT15M;Onshore;Flanders;Dso;464.18;481.2;424.7;521.2;532.0;364.4;562.6;542.1;393.7;620.7;451.8;383.3;497.6;1353.86;0.34;''
2023-01-01T16:15:00+01:00;PT15M;Onshore;Flanders;Dso;428.49;461.4;399.0;509.5;509.1;350.2;541.2;518.2;363.8;589.0;429.2;359.9;474.6;1353.86;0.32;''
2023-01-01T16:30:00+01:00;PT15M;Onshore;Flanders;Dso;414.78;447.0;386.2;496.6;499.6;343.6;532.7;502.3;346.7;567.4;407.4;340.2;453.6;1353.86;0.31;''
2023-01-01T16:45:00+01:00;PT15M;Onshore;Flanders;Dso;411.18;434.4;375.8;487.9;490.9;339.0;528.4;493.2;333.1;553.1;384.7;319.4;431.8;1353.86;0.3;''
2023-01-01T17:00:00+01:00;PT15M;Onshore;Flanders;Dso;404.35;430.4;375.1;475.1;491.2;341.5;530.8;490.4;327.9;546.1;365.7;299.9;412.2;1353.86;0.3;''
2023-01-01T17:15:00+01:00;PT15M;Onshore;Flanders;Dso;414.88;425.6;359.8;475.3;486.6;337.4;530.7;484.4;317.7;537.1;345.6;281.5;392.0;1353.86;0.31;''
2023-01-01T17:30:00+01:00;PT15M;Onshore;Flanders;Dso;427.84;418.7;352.8;468.4;476.0;327.7;527.2;474.5;306.8;523.5;326.6;263.6;373.1;1353.86;0.32;''
2023-01-01T17:45:00+01:00;PT15M;Onshore;Flanders;Dso;435.3;410.1;342.1;460.4;468.5;319.3;522.7;465.4;295.4;511.8;309.2;246.5;356.1;1353.86;0.32;''
2023-01-01T18:00:00+01:00;PT15M;Onshore;Flanders;Dso;448.53;391.3;354.9;432.8;461.9;308.5;518.7;457.7;285.2;502.5;289.4;227.7;335.5;1353.86;0.33;''
2023-01-01T18:15:00+01:00;PT15M;Onshore;Flanders;Dso;480.34;386.3;342.8;434.8;454.4;299.5;510.6;448.0;278.3;492.7;272.7;213.6;318.9;1353.86;0.35;''
2023-01-01T18:30:00+01:00;PT15M;Onshore;Flanders;Dso;504.36;384.6;335.8;434.0;445.1;289.4;500.2;437.7;271.8;482.1;260.2;200.4;306.1;1353.86;0.37;''
2023-01-01T18:45:00+01:00;PT15M;Onshore;Flanders;Dso;473.13;376.5;324.1;426.3;437.9;278.6;489.4;428.2;265.3;472.6;251.0;191.6;298.1;1353.86;0.35;''
2023-01-01T19:00:00+01:00;PT15M;Onshore;Flanders;Dso;432.02;369.3;322.7;401.6;424.9;267.3;475.1;414.5;252.3;454.7;242.3;183.1;288.4;1353.86;0.32;''
2023-01-01T19:15:00+01:00;PT15M;Onshore;Flanders;Dso;403.8;361.4;300.7;400.7;416.8;258.9;465.3;404.5;245.5;441.9;233.8;175.9;280.4;1353.86;0.3;''
2023-01-01T19:30:00+01:00;PT15M;Onshore;Flanders;Dso;374.74;358.7;293.5;398.6;412.5;255.2;459.7;398.6;240.8;430.6;227.9;170.0;273.5;1353.86;0.28;''
2023-01-01T19:45:00+01:00;PT15M;Onshore;Flanders;Dso;350.51;350.2;281.5;390.6;408.8;252.9;454.9;395.2;238.5;424.8;220.9;164.2;266.9;1353.86;0.26;''
2023-01-01T20:00:00+01:00;PT15M;Onshore;Flanders;Dso;357.39;357.7;319.2;399.7;410.7;255.1;454.5;395.7;238.0;423.3;220.9;163.9;266.2;1353.86;0.26;''
2023-01-01T20:15:00+01:00;PT15M;Onshore;Flanders;Dso;388.17;352.3;304.2;404.1;410.9;253.7;452.6;393.9;235.4;421.2;217.4;161.2;263.0;1353.86;0.29;''
2023-01-01T20:30:00+01:00;PT15M;Onshore;Flanders;Dso;395.94;354.5;299.9;406.9;409.7;252.4;447.1;391.8;233.4;420.0;214.0;158.0;259.8;1353.86;0.29;''
2023-01-01T20:45:00+01:00;PT15M;Onshore;Flanders;Dso;381.6;358.8;299.0;411.5;410.8;253.7;444.5;393.3;232.7;420.6;209.9;154.6;256.4;1353.86;0.28;''
2023-01-01T21:00:00+01:00;PT15M;Onshore;Flanders;Dso;351.03;352.3;312.4;399.3;416.0;258.7;447.4;397.6;236.8;423.1;206.4;151.3;253.2;1353.86;0.26;''
2023-01-01T21:15:00+01:00;PT15M;Onshore;Flanders;Dso;332.21;359.8;309.3;419.2;416.2;262.5;446.4;396.6;233.5;421.3;202.7;148.7;250.0;1353.86;0.25;''
2023-01-01T21:30:00+01:00;PT15M;Onshore;Flanders;Dso;367.72;370.7;313.8;428.9;414.3;264.1;444.4;396.6;229.8;419.2;199.3;145.2;246.9;1353.86;0.27;''
2023-01-01T21:45:00+01:00;PT15M;Onshore;Flanders;Dso;416.82;386.6;323.2;446.3;410.9;265.2;441.5;392.0;224.5;413.8;195.7;141.7;242.7;1353.86;0.31;''
2023-01-01T22:00:00+01:00;PT15M;Onshore;Flanders;Dso;479.23;397.8;356.0;451.5;404.9;261.4;434.9;384.9;217.0;405.5;193.0;139.0;239.6;1353.86;0.35;''
2023-01-01T22:15:00+01:00;PT15M;Onshore;Flanders;Dso;519.51;419.2;364.1;486.6;399.9;258.4;430.7;378.1;212.3;400.0;190.3;137.0;237.2;1353.86;0.38;''
2023-01-01T22:30:00+01:00;PT15M;Onshore;Flanders;Dso;541.26;437.2;374.6;506.9;394.1;252.8;424.8;371.4;206.8;391.0;187.1;134.3;233.4;1353.86;0.4;''
2023-01-01T22:45:00+01:00;PT15M;Onshore;Flanders;Dso;497.41;459.5;390.3;528.3;386.7;248.5;420.5;364.4;202.9;383.4;183.7;131.2;230.3;1353.86;0.37;''
2023-01-01T23:00:00+01:00;PT15M;Onshore;Flanders;Dso;501.24;509.2;459.8;556.5;382.8;244.4;416.0;356.4;196.6;376.1;180.1;127.6;226.3;1353.86;0.37;''
2023-01-01T23:15:00+01:00;PT15M;Onshore;Flanders;Dso;506.45;520.4;460.0;577.6;374.6;239.3;406.5;351.5;195.5;372.9;177.3;124.7;223.6;1353.86;0.37;''
2023-01-01T23:30:00+01:00;PT15M;Onshore;Flanders;Dso;530.51;533.8;465.2;591.6;369.1;234.3;396.3;348.8;194.5;371.3;176.1;124.0;223.0;1353.86;0.39;''
2023-01-01T23:45:00+01:00;PT15M;Onshore;Flanders;Dso;562.14;546.4;466.2;605.8;363.1;228.9;386.6;347.3;194.0;370.8;175.5;122.8;222.1;1353.86;0.42;''
2023-01-02T00:00:00+01:00;PT15M;Onshore;Flanders;Dso;628.21;588.9;519.0;629.4;580.8;435.9;618.1;592.3;510.0;690.1;1011.8;948.4;1048.6;1353.86;0.46;''
